Name,City,State,Contact Number Primary,Contact Number Secondary,Search parameter
Ganga Auditorium,Thiruvananthapuram,Kerala,4702629973,9747167622,Auditoriums
Sri Adichunchanagiri Community Centre,Hassan,Karnataka,8172267483,,Auditoriums
Yashaswi Wedding Hall,Mysore,Karnataka,8212416419,2431830,Auditoriums
Claret Bhavan,Bangalore,Karnataka,8028439222,28439949,Auditoriums
Sri Mahaveer Bhavan,Hassan,Karnataka,8172269587,,Auditoriums
Shree Shanthi Sagar Kalyana Mantapa,Mysore,Karnataka,8212546580,,Auditoriums
Leskhmi Kalyanamandapam,Thiruvananthapuram,Kerala,4712495333,,Auditoriums
A J Hall,Thiruvananthapuram,Kerala,4712443255,,Auditoriums
C H Auditorium,Kozhikode,Kerala,4952365969,,Auditoriums
Madhava Shenoy Kalyana Mantap,Mysore,Karnataka,8212486426,9448439131,Auditoriums
Jugul Hall,Mangalore,Karnataka,8242216961,,Auditoriums
Dreamz Auditorium,Kozhikode,Kerala,4952418738,9895079922,Auditoriums
Panchajanyam Kalyana Mandapam,Thiruvananthapuram,Kerala,4712472086,,Auditoriums
Rajadhani Kalyana Mandapam Auditorium,Thiruvananthapuram,Kerala,4712472253,,Auditoriums
Damodar Vidya Prasarak Mandal,Goa,Goa,8322711427,,Auditoriums
Hill Fort Auditorium,Malappuram,Kerala,9895768286,9895978723,Auditoriums
Mangalore Ladies Club,Mangalore,Karnataka,8242425051,9900154707,Auditoriums
Manavatti Auditorium,Thiruvananthapuram,Kerala,4712400185,,Auditoriums
Mangalya Auditorium,Ernakulam,Kerala,4842712076,2712338,Auditoriums
Kings Auditorium,Kozhikode,Kerala,4952414166,9895641064,Auditoriums
Sree Padmam Kalyana Mandapam,Thiruvananthapuram,Kerala,4712570396,,Auditoriums
Murgaon Mutt Complex,Goa,Goa,8322512111,,Auditoriums
Kapadia Wadi,Surat,Gujarat,2612262243,,Auditoriums
Ganga Auditorium,Thiruvananthapuram,Kerala,4702629973,9447035278,Auditoriums
Nandus Aqua Palace,Alappuzha,Kerala,9847054880,,Auditoriums
Sree Raja Rajeswari Auditorium,Alappuzha,Kerala,4782258392,,Auditoriums
Mahabir Bhawan,Guwahati,Assam,3612590693,,Auditoriums
Rabindra Bhawan,Guwahati,Assam,8011484831,,Auditoriums
Maheswari Bhawan,Guwahati,Assam,3612554358,,Auditoriums
Pranavam Hall,Ernakulam,Kerala,4842806103,,Auditoriums
Ce Xavier Hall,Ernakulam,Kerala,4842232686,,Auditoriums
Sagar Cinema Hall,Faridabad,Haryana,1292286527,,Auditoriums
Nss Karayogam,Ernakulam,Kerala,4842779237,,Auditoriums
Utsav Bhawan,Howrah,West Bengal,9831368707,,Auditoriums
Ganga Auditorium,Trivandrum,Kerala,0470-2629973,9447035278,Auditoriums
Jaganya Auditorium,Trivandrum,Kerala,0471-2712262,9746007181,Auditoriums
